OBJECTID,Man_Made_Object,Notes,GlobalID,EditDate,Shape__Length
130,Trail Mulch/Stone,Sandy Point (blue),d1bbd0ea-7aea-46e0-add1-57fd5c3c236c,2019-04-25T15:50:49.028Z,981.536541553629
131,Trail Mulch/Stone,Laurel Loop (yellow),50ee1099-df04-422e-a04d-0ef6bf924879,2019-04-25T15:50:49.184Z,1360.29026908003
132,Trail Mulch/Stone,Laurel Loop extension to lake overlook,1e05082d-abed-43ba-87a3-ad779a11f427,2019-04-25T15:50:49.356Z,259.857276950592
133,Trail Mulch/Stone,Blue Jay Point  (blue),f236dcaf-7bf6-4d8a-93a2-8cdbe9063d29,2019-04-25T15:50:49.606Z,1499.02540071002
134,Trail Mulch/Stone,Beaver Point trail (blue),14e800fc-dfa3-452c-9ed6-9cd67c9c2636,2019-04-25T15:50:49.794Z,1761.96185405755
135,Trail Mulch/Stone,Azalea Loop (yellow),0f7df88d-b2f3-4b07-9fb1-323f116ed044,2019-04-25T15:50:50.076Z,2028.19136083256
136,Trail Mulch/Stone,Connector to Sparkleberry,cff9bd2d-39b9-49c8-a077-4de545e8a7a0,2019-04-25T15:50:50.293Z,166.4272234882
137,Trail Mulch/Stone,Sparkleberry Loop (yellow),88be9bcf-ce07-43fc-8ed5-8d245cb2e497,2019-04-25T15:50:50.528Z,1124.84814095468
138,Trail Mulch/Stone,,09daad08-d3cc-434d-96bf-6af53316dff6,2019-04-25T15:50:50.840Z,195.992216996963
139,Trail Mulch/Stone,,deffb02c-48da-4987-9f84-cc47963c8011,2019-04-25T15:50:51.153Z,580.279901731451
140,Bridge/Boardwalk,Pond boardwalk,cdf0d5c2-cc74-48d0-8b36-278782a89278,2019-04-25T15:50:51.340Z,446.655390648648
141,Bridge/Boardwalk,Wetlands Boardwalk,4ff4663f-69cc-4c40-a0d4-a1f49f441f17,2019-04-25T15:50:51.954Z,417.710314401013
142,Road,Park entrance drive,b87facc1-db51-49f7-b783-d233802497fd,2019-04-25T15:50:52.390Z,1471.33896097772
143,Bridge/Boardwalk,,73d0f75b-d1c1-4b18-aee3-699f074ff01c,2019-04-25T15:50:52.653Z,30.6928774237103
144,Trail Paved,,c80917a9-c376-437a-b865-39f5df66866f,2019-04-25T15:50:52.887Z,1412.26960883399
145,Trail Mulch/Stone,To Laurel Loop,0e0a22e4-061b-41b9-849c-953cbeff222f,2019-04-25T15:50:53.044Z,182.690121042982
146,Trail Paved,,d178aa9d-4674-4e7e-99fd-a867ad04b030,2019-04-25T15:50:53.455Z,161.276108140513
147,Trail Paved,,23baf41f-e45a-426b-b2dc-43aa1e941f07,2019-04-25T15:50:53.763Z,733.178994855425
148,Trail Paved,,bc67bf6c-3eca-4491-933e-dbb1a7f1562e,2019-04-25T15:50:54.126Z,40.4484290752663
149,Trail Mulch/Stone,,b8d3fd78-225c-4e0c-91c8-dd66d4ae5f53,2019-04-25T15:50:54.481Z,464.022484244285
150,Trail Paved,Trail through pond area,16c3b9e3-3fce-4229-ba9f-144d0bae5552,2019-04-25T15:50:54.841Z,466.007926525437
151,Trail Mulch/Stone,Mulch,627d7ca0-f581-4c99-9364-027a9a6084fd,2019-04-25T15:50:55.280Z,2351.42359747454
152,Trail Mulch/Stone,,062a18de-3a0c-4429-b78a-c8607ff12594,2019-04-25T15:50:55.485Z,106.876144769726
153,Trail Mulch/Stone,Mulch,57b2ebe2-0c08-4b46-8402-13748b827c1e,2019-04-25T15:50:55.888Z,305.460925809669
154,Trail Mulch/Stone,Millpond trail to second walkway,89fe6e33-e5f7-4007-927c-62f7e2ed0e4d,2019-04-25T15:50:56.528Z,364.57654312337
155,Trail Singletrack,High ridge trail,4905b0b5-e625-456a-bb96-02fff8cf3be7,2019-04-25T15:50:56.887Z,3813.42846816045
156,Trail Singletrack,creekside trail,cfb35a77-5977-4090-bdfb-9bd314ed80f9,2019-04-25T15:50:57.075Z,5389.84559022141
157,Trail Singletrack,,4f3f9e08-191c-446d-95f8-887febfffb50,2019-04-25T15:50:57.372Z,787.868563294549
158,Trail Singletrack,,43c7a7b5-2fb7-4be3-9c26-10333c3cc541,2019-04-25T15:50:57.747Z,203.681073296445
159,Trail Singletrack,,5eb32be9-e4f3-435f-bdf5-0e0b9b6bd275,2019-04-25T15:50:57.966Z,1116.91330131222
160,Trail Singletrack,,9877c5fc-cb79-4dc2-9845-82c3302d3e67,2019-04-25T15:50:58.090Z,1707.12524534425
161,Trail Singletrack,New reroute,270e93f0-5f16-4407-b848-d54adbd48658,2019-04-25T15:50:58.200Z,487.034024797996
162,Bridge/Boardwalk,Low water bridge belowill dam,672d4792-e661-460b-8b38-b21fd7b2311d,2019-04-25T15:50:58.357Z,49.8347199072984
163,Road,Pleasant Union Church Rd,0d46a7b3-ff3d-4481-a81f-0c05f97a0b88,2019-04-25T15:50:58.654Z,624.809524580806
