OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560356, ,2.36249225,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,102910.162404566,1715.61125643239,,
560357, ,0.88898415,HEATHROW HOMEOWNERS ASSOCIATION,RALEIGH,GREENWAY, , ,,,,38724.1497775706,893.900725227103,,
560358, ,1.25099951,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,HARE SNIPE CREEK,,54493.538778402,1118.1493558149,,
560359, ,0.16198523,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,7056.07640262547,355.509445415966,,
560360,Lead Mine Elementary,19.43594186,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,846633.478481037,3909.19949379518,,
560361,Leesville Road Schools,99.42459355,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,4321592.99913065,10379.0795590903,,
560362, ,1.19008834,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,HARE SNIPE CREEK,,51645.3883118781,1114.55152690723,,
560363,Fred G. Bond Metro Park,288.55249533,TOWN OF CARY,CARY,PARK,,,,CRABTREE CREEK,,12569346.6964127,27190.0789370281,,
560364,,2.74152157,TOWN OF CARY,CARY,GREENWAY,,,,CRABTREE CREEK,,119420.679781754,9275.5791142367,,
560365,Greenway Easement,1.09058004,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,BEAVERDAM CREEK,,47505.6666778136,1052.78907869478,,
560366,Lake Lynn Trail,89.45354882,CITY OF RALEIGH / WAKE COUNTY,RALEIGH,GREENWAY, , ,609,HARE SNIPE CREEK,,3896596.58658102,21206.3296555063,,
560367,Sawmill Trail,16.91350005,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,736752.062329701,7533.69980964475,,
560368,Horseshoe Park,157.58252182,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,3602593.55218443,7464.78494834598,,
560369,Bent Creek Trail,11.22961976,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,489162.236857587,8286.42150046444,,
560370,North Ridge Elementary,16.40879367,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,714767.052396882,3444.04197971213,,
560371, ,0.49902261,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,21737.4249294112,603.131889894835,,
560372,Tarheel Club Farm,4.05433141,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,657704.91734532,6392.027236239,,
560373, ,3.51962737,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,153314.968233147,2240.24827073431,,
560374,Sawmill Trail,63.89879749,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,2781406.24725046,22860.0759743024,,
560375,Buffer,0.26761294,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,11657.2195231707,1173.93883489675,,
560376,,5.03034259,STATE OF NORTH CAROLINA,WAKE COUNTY,GREENWAY,,,,LITTLE RIVER,,219121.869766972,1968.22869591614,,
560377,Idolbrook Park,3.20274929,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,139511.759092132,2671.60515033899,,
560378, ,2.08227828,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,90704.0801976625,1633.76855129175,,
560379,Hillburn Drive Elementary,23.89877551,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,1041030.66118559,4171.12612972621,,
560380, ,1.30202855,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,56716.36348397,1642.26170397947,,
560381,Neuse River Greenway,188.9298039,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,8229782.2576964,38360.4067447797,,
560382,Brentwood Trail,3.45728552,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,150599.357290794,3534.93909979455,,
560383,Reedy Creek Trail,137.54427629,STATE OF NORTH CAROLINA,RALEIGH,GREENWAY, , , ,HOUSE CREEK,,5991428.67525659,19211.4109830451,,
560384, ,0.1867949,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,8136.78596713752,389.790398152013,,
560385, ,0.44935893,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,PIGEON HOUSE BRANCH,,23295.059134912,1166.94441649971,,
560386,Buffalo Creek Cypress Swamp,24.50440177,MEASUREMENTS GROUP INC,WAKE COUNTY,GREENWAY,WAKE COUNTY, , ,BUFFALOE CREEK,,1064072.79902909,4001.87603678353,,
560387,Green Hope High ,72.47597445,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,3157053.44687701,7154.06035044334,,
560388,,0.12257427,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,BEAVERDAM CREEK,,5339.3352912898,524.501477798294,,
560389,Hymettus Woods Park,4.51610551,TRIANGLE GREENWAYS COUNCIL,RALEIGH,PARK,TRIANGLE GREENWAYS COUNCIL, , ,BEAVERDAM CREEK,,196721.555873672,2998.57450584399,,
560390,,0.10839048,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,4721.48950857763,436.455196819358,,
560391, ,0.40970511,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,17691.5492698079,794.38334872861,,
560392,,0.21194802,CITY OF RALEIGH,RALEIGH,,,,,,,9232.45568317209,610.466672033582,,2019-06-27T15:16:37.000Z
560393,Green Road Park,26.59849621,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1158630.49474607,4300.57804247872,,
560394, ,0.10353878,TOWN OF CARY,CARY,OPEN SPACE, , , ,,,4510.14934240862,360.833688869144,,
560395,East Cary Middle School,34.14357563,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,786,,,1487294.15433791,5344.90906784273,,
560396,Cary Elementary,14.27751249,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,796,,,621909.675055169,4020.27426748396,,
560397, ,0.08759782,CITY OF RALEIGH,RALEIGH,, , , ,,,3815.76120621141,270.80187954669,,2019-06-27T15:16:50.000Z
560398,Heater Park,1.49091421,TOWN OF CARY,CARY,PARK, , , ,,,64944.222833071,1258.39070792412,,
560399,,68.58280909,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,OPEN SPACE,DOT, , ,MARKS CREEK,,2996634.16752469,10620.5079877605,,
560400,Longview Lake,0.86853296,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,37833.2955386372,1107.13376474204,,
560401,Bugg Elementary,13.97377046,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,BOARD OF EDUCATION, , ,,,608689.609882575,3139.04833775689,,
560402,Little Rock Trail,2.44484741,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,108813.211121724,1801.99465149049,,
560403,Worthdale Park,35.59259726,CITY OF RALEIGH,RALEIGH,PARK, , , ,WALNUT CREEK,,1550413.05856603,6359.09338245286,,
560404,Little Rock Trail,3.07196969,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,133814.97631264,2482.64308596505,,
560405,Swift Creek Elementary,11.31728536,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,132,,,492980.950126649,3602.0570759437,,
560406,Sanderford Road Park,24.3540471,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1060873.51238952,5294.40027365214,,
560407,Peach Road Neighborhood Center,7.07043202,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,307988.018710154,2367.84181034909,,
560408,NCSU Agricultural Research Land,1943.07088556,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,NCSU, , ,STEEP HILL CREEK,,74654912.4975773,75228.5268267735,,
560409,Yates Mill Pond Elementary,23.82311274,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION,, ,,,1026998.41924177,5189.87505564551,,
560410,Baucom Elementary,16.93543358,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,737707.486532529,3675.43646968681,,
560411,Speight Branch Greenway,3.74554635,TOWN OF CARY,CARY,GREENWAY, , , ,SPEIGHT BRANCH,,163155.998921404,3830.27420087411,,
560412,Lake Lynn Park,14.06206531,CITY OF RALEIGH,RALEIGH,PARK, , ,609,HARE SNIPE CREEK,,612543.565004999,3608.02523911023,,
560413,Millbrook Exchange Park,69.5299026,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,3028722.55704095,8698.37556840316,,
560414,Lynn Road Elementary,18.92038048,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,824171.773605339,4117.98604192226,,
560415, ,1.38497828,CITY OF RALEIGH,RALEIGH,GREENWAY, ,EASEMENT, ,HARE SNIPE CREEK,,60329.6537562757,2107.31269334804,,
560416,Roberts Park,7.19908773,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,313833.702642922,2297.31411054083,,
560417,Combs Elementary,15.63506921,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,784,,,681070.580944679,3227.3045859961,,
560418,Anderson Point River Access,12.60331859,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,549000.558808042,3131.08624148666,,
560419,Kaplan Park,5.18826302,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,226000.73699979,2968.32367265039,,
560420,,2.38730505,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,103991.007801875,2059.52970207943,,
560421, ,2.7496344,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,MARSH CREEK,,119774.074263974,1589.07669156162,,
560422,Neuse River Greenway,54.96808494,VARIOUS OWNERS,RALEIGH,GREENWAY,CITY OF RALEIGH,EASEMENT, ,NEUSE RIVER,,2394409.79515908,23357.998122095,,
560423,Zebulon Elementary,23.85765951,WAKE COUNTY BOARD OF EDUCATION,ZEBULON,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,327,,,1039239.64805048,4554.75483504721,,
560424, ,0.07201257,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,3136.86767731705,273.811016775021,,
560425,Eastgate Neighborhood Center,25.26451583,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1100522.30947293,5211.15719165609,,
560426,Douglas Elementary,15.7457307,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,752,,,685884.02938767,3363.2508468216,,
560427, ,3.02718105,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,BEAVERDAM CREEK,,131753.538805476,2501.00910574779,,
560428,OS-055,38.40187099,TRIANGLE LAND CONSERVANCY,WAKE COUNTY,OPEN SPACE,TRIANGLE LAND CONSERVANCY,PARTNERSHIP,950,,OS-055,1672785.50043626,8454.45500910034,,
560429, ,1.21289292,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,52833.6157353982,1441.51611631766,,
560430,Williams Park,8.70781651,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,379322.189987946,2872.86653172352,,
560431,Jeffreys Grove Elementary,8.63883956,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,376307.851210085,2708.98940631237,,
560432,Shelley Lake,128.93568209,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,5616457.97155268,22587.1532556176,,
560433,Millbrook High School,41.97850259,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,760,,,1828583.57268948,5431.56259602572,,
560434,Optimist Park,30.72151431,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1338229.1634362,7955.37121044926,,
560435,Lake Park Trail,10.54789252,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,459466.198183654,6377.53411436378,,
560436, ,6.48278497,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,282390.113274299,4012.58686032311,,
560437,,0.51173077,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,22290.9921275116,1083.87564395246,,
560438,Jones Park,24.02882547,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK,,,,,,1046695.63755174,4215.75317923836,,
560439,,7.36350602,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,320754.322020132,3576.84028660771,,
560440,Carpenter Elementary,23.75248832,TOWN OF CARY,CARY,SCHOOL, , , ,,,1034666.76959797,4069.64098520089,,
