OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_NAME,OWNER,OWNER2,TRAIL_STATUS,TRAIL_CONDITION,TRAIL_SURFACE,TRAIL_CLASS,LENGTH,WIDTH,SLOPE,SUBSEGMENT_NAME,STREET,OPEN_DATE,MAINTAIN_DATE,EMERGENCY,LIGHTING,ACCESSIBILITY_STATUS,PUBLIC_ACCESS,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH
93,626.164760694846,Walnut Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.11859181,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,626.16476071
95,176.305056599924,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.03339111,12,,,,,,,,ACCESSIBLE,,,,,,,,,,176.3050566
99,8138.21030249141,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.54133844,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,8138.26697537
101,4227.32896467304,Heritage Trail,Heritage Trail,Fuquay-Varina,,EXISTING,,,,0.80063049,,,,,,,,,NOT EVALUATED,,,,,,,,,,4227.32896466
102,657.591696872107,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,IMPORTED COMPACTED MATERIAL,,0.12454388,11,,,,,,,,ACCESSIBLE,,,,,,,,,,657.59169687
41,482.358857475183,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.09135584,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,482.35885747
43,8618.69164455014,Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.63239568,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,8619.04917791
44,131.214201057202,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.02485117,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,131.21420106
47,626.326653800869,Walnut Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.11862905,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,626.36138659
49,38.0657718744537,Beaver Dam Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.00720943,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,38.06577187
53,1001.37081923969,Gardner Street Trail,,City of Raleigh,,EXISTING,,,,0.18965356,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1001.37081924
54,42.999786816955,Simms Branch Trail,,City of Raleigh,,EXISTING,,,,0.0081439,10,,,,,,,,ACCESSIBLE,,,,,,,,,,42.99978683
55,80.4334056218977,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.0152336,7,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,80.43340562
56,354.267653381494,Loblolly Ridge,Loblolly Ridge,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.06709615,,,,,,,,,NOT EVALUATED,,,,,,,,,,354.26765339
57,1166.67485243249,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.22097041,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1166.72376852
58,208.628391663155,House Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.03951295,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,208.62839167
61,1299.33030852938,Hickory Hollow Loop,Hickory Hollow Loop,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.24608529,,,,,,,,,NOT EVALUATED,,,,,,,,,,1299.33030853
64,3279.58214792242,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.62113298,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,3279.58214792
137,5029.41179419648,Little Rock Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.9525573,10,,,,,,,,ACCESSIBLE,,,,,,,,,,5029.50252377
138,91.3501593308628,Centennial Bikeway Connector,,City of Raleigh,,EXISTING,,,,0.01730117,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,91.35015932
139,771.461161580353,Centennial Bikeway Connector,,City of Raleigh,,EXISTING,,CONCRETE,,0.14611007,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,771.4611616
